var,est,lowCI,upCI,tsLength,buffer,responseVar,greenSpaceVar,biome,pollutant,aic,r2m,r2c
total_precipitation,-0.02795461641362748,-0.03839168148074852,-0.01751755134650644,6,15,ConcentrationMean,ndvi,Forest mixed,PM25,-2582.6845439658355,0.094666760497197,0.8929449230833197
relative_humidity,-0.00372988122931116,-0.01715219443180115,0.00969243197317883,6,15,ConcentrationMean,ndvi,Forest mixed,PM25,-2582.6845439658355,0.094666760497197,0.8929449230833197
temperature_2m,-0.011244908197910526,-0.025733116659544912,0.0032433002637238598,6,15,ConcentrationMean,ndvi,Forest mixed,PM25,-2582.6845439658355,0.094666760497197,0.8929449230833197
wind_abs,-0.01622144267624177,-0.027680814175100533,-0.004762071177383007,6,15,ConcentrationMean,ndvi,Forest mixed,PM25,-2582.6845439658355,0.094666760497197,0.8929449230833197
green,0.0014999258928043442,-0.005173991125513929,0.008173842911122617,6,15,ConcentrationMean,ndvi,Forest mixed,O3,-10922.74686951172,0.11894564915345941,0.7771906734008093
totEmission,-0.0015475562606612704,-0.008768247328830362,0.005673134807507822,6,15,ConcentrationMean,ndvi,Forest mixed,O3,-10922.74686951172,0.11894564915345941,0.7771906734008093
total_precipitation,0.0230465072393639,0.01805100400079416,0.028042010477933643,6,15,ConcentrationMean,ndvi,Forest mixed,O3,-10922.74686951172,0.11894564915345941,0.7771906734008093
relative_humidity,-0.07513072108015102,-0.08079000265673622,-0.06947143950356582,6,15,ConcentrationMean,ndvi,Forest mixed,O3,-10922.74686951172,0.11894564915345941,0.7771906734008093
temperature_2m,-0.024113600106709154,-0.031158989826412024,-0.017068210387006285,6,15,ConcentrationMean,ndvi,Forest mixed,O3,-10922.74686951172,0.11894564915345941,0.7771906734008093
wind_abs,0.0297947865581804,0.024377950916068966,0.03521162220029184,6,15,ConcentrationMean,ndvi,Forest mixed,O3,-10922.74686951172,0.11894564915345941,0.7771906734008093
green,0.00267466697773873,-0.01687598022221947,0.02222531417769693,6,15,ConcentrationMean,ndvi,Mediterranean forest/shrubland,NO2,-1899.6078487048326,0.05303342459295838,0.9115120952155731
totEmission,0.02840631371812086,0.007977782896348092,0.04883484453989363,6,15,ConcentrationMean,ndvi,Mediterranean forest/shrubland,NO2,-1899.6078487048326,0.05303342459295838,0.9115120952155731
total_precipitation,-0.031121117819442747,-0.04302856257492258,-0.019213673063962912,6,15,ConcentrationMean,ndvi,Mediterranean forest/shrubland,NO2,-1899.6078487048326,0.05303342459295838,0.9115120952155731
relative_humidity,-0.0403798803681437,-0.06467077771512261,-0.016088983021164797,6,15,ConcentrationMean,ndvi,Mediterranean forest/shrubland,NO2,-1899.6078487048326,0.05303342459295838,0.9115120952155731
temperature_2m,-0.033644661264527205,-0.05698000504110655,-0.010309317487947861,6,15,ConcentrationMean,ndvi,Mediterranean forest/shrubland,NO2,-1899.6078487048326,0.05303342459295838,0.9115120952155731
