"site","site_name","latitude","longitude","elevation","country","country_iso_code","site_type","site_area","date_start","date_end","network","eu_code","eoi_code","observation_count","data_source"
"rs0048a","Vranje",42.551125,21.896556,473,"serbia","RS","background","urban",2011-01-01 00:00:00,2022-06-14 02:00:00,"NET-RS002A","STA-RS0048A","RS0048A",71314,"airbase; aqer:e1a; aqer:e2a"
"rs0049a",NA,NA,NA,NA,"serbia","RS",NA,NA,2020-12-31 23:00:00,2022-06-14 02:00:00,NA,NA,NA,21252,"aqer:e2a"
"rs0050a",NA,NA,NA,NA,"serbia","RS",NA,NA,2020-12-31 23:00:00,2022-06-14 01:00:00,NA,NA,NA,22716,"aqer:e2a"
"rs0051a",NA,NA,NA,NA,"serbia","RS",NA,NA,2020-12-31 23:00:00,2022-06-14 01:00:00,NA,NA,NA,21192,"aqer:e2a"
"rs0052a",NA,NA,NA,NA,"serbia","RS",NA,NA,2020-12-31 23:00:00,2022-06-14 01:00:00,NA,NA,NA,21778,"aqer:e2a"
"rs0053a",NA,NA,NA,NA,"serbia","RS",NA,NA,2020-12-31 23:00:00,2022-06-14 01:00:00,NA,NA,NA,21780,"aqer:e2a"
"rs0054a",NA,NA,NA,NA,"serbia","RS",NA,NA,2020-12-31 23:00:00,2022-06-14 01:00:00,NA,NA,NA,22102,"aqer:e2a"
"rs0055a",NA,NA,NA,NA,"serbia","RS",NA,NA,2020-12-31 23:00:00,2022-06-14 02:00:00,NA,NA,NA,24306,"aqer:e2a"
"sd0201","AMS1 Kaštel Sucurac - SD0201 - HR0023A; Mjerna mreža Cemex Hrvatska d.o.o.",43.5481194444444,16.4349611111111,0,"sudan","SD",NA,NA,NA,NA,NA,NA,NA,NA,"aqer:e2a"
"sd0203","Split-1 - SD0203 - HR0022A; Mjerna mreža Cemex Hrvatska d.o.o.",43.5106527777778,16.4493416666667,0,"sudan","SD",NA,NA,NA,NA,NA,NA,NA,NA,"aqer:e2a"
"se0001a","Malmö Rådhuset",55.6063879994999,13.001964,25,"sweden","SE","background","urban",1998-01-01 00:00:00,2022-06-14 01:00:00,"NET-SE0001C","STA-SE0001A","SE0001A",1328420,"airbase; aqer:e1a; aqer:e2a"
"se0002r","Rörvik",57.413891,11.935017,16,"sweden","SE","background","rural",1993-01-01 00:00:00,2001-12-31 23:00:00,NA,NA,NA,65562,"airbase"
"se0003a","Stockholm Hornsgatan 108 Gata",59.3172219995293,18.04866,24,"sweden","SE","traffic","urban",1999-01-01 00:00:00,2022-06-14 01:00:00,"NET-SE0004C","STA-SE0003A","SE0003A",1067791,"airbase; aqer:e1a; aqer:e2a"
